route_id,train_no,day_id,station_code,station_name,distance_km,scheduled_time,actual_time,delay_minutes,weather_factor,congestion_factor,dwell_extra_minutes,weather_delay_contrib,congestion_delay_contrib,random_event_delay_contrib,hour_of_day,station_seq
NJP-BJU,12000,3,BJU,Barauni,420,2025-01-05 01:09:24.016772446,2025-01-05 01:27:04.529548046,17.7,1.2,1.03,0.24,2.95,0.5,0.0,1,7
NJP-BJU,12000,4,NJP,New Jalpaiguri,0,2025-01-05 16:00:00.000000000,2025-01-05 16:06:26.343869723,6.4,1.48,0.92,0.78,7.24,-1.58,0.0,16,0
NJP-BJU,12000,4,KIR,Kishanganj,55,2025-01-05 16:48:22.430767820,2025-01-05 17:02:44.449573977,14.4,1.24,0.97,0.61,3.56,-0.66,6.35,16,1
NJP-BJU,12000,4,BOE,Barsoi,110,2025-01-05 17:36:44.861535640,2025-01-05 18:07:33.875281681,30.8,1.43,0.99,3.4,6.47,-0.25,11.14,17,2
NJP-BJU,12000,4,KNE,Katihar,150,2025-01-05 18:11:55.720275873,2025-01-05 18:54:33.746245351,42.6,1.39,1.48,0.32,5.84,9.54,5.37,18,3
NJP-BJU,12000,4,MLDT,Malda Town,220,2025-01-05 19:13:29.723071281,2025-01-05 19:50:17.838858084,36.8,1.16,1.2,0.44,2.45,4.07,0.0,19,4
NJP-BJU,12000,4,NFK,New Farakka,260,2025-01-05 19:48:40.581811514,2025-01-05 20:26:24.935855718,37.7,1.24,1.38,0.77,3.54,7.68,0.0,19,5
NJP-BJU,12000,4,SGUJ,Sahibganj,320,2025-01-05 20:41:26.869921863,2025-01-05 21:22:05.899834650,40.7,1.48,1.28,1.39,7.15,5.69,0.0,20,6
NJP-BJU,12000,4,BJU,Barauni,420,2025-01-05 22:09:24.016772446,2025-01-05 22:45:36.496762822,36.2,1.49,0.96,1.14,7.34,-0.73,0.0,22,7
NJP-BJU,12000,5,NJP,New Jalpaiguri,0,2025-01-06 12:00:00.000000000,2025-01-06 12:09:59.711772496,10.0,1.43,1.13,0.95,6.52,2.53,0.0,12,0
NJP-BJU,12000,5,KIR,Kishanganj,55,2025-01-06 12:48:22.430767820,2025-01-06 13:06:34.334836989,18.2,1.46,1.1,2.25,6.86,2.09,0.0,12,1
NJP-BJU,12000,5,BOE,Barsoi,110,2025-01-06 13:36:44.861535640,2025-01-06 14:00:53.711028267,24.1,1.62,1.03,1.4,9.32,0.69,0.0,13,2
NJP-BJU,12000,5,KNE,Katihar,150,2025-01-06 14:11:55.720275873,2025-01-06 14:29:19.207655613,17.4,1.16,0.89,0.35,2.33,-2.19,0.0,14,3
NJP-BJU,12000,5,MLDT,Malda Town,220,2025-01-06 15:13:29.723071281,2025-01-06 15:30:47.495802487,17.3,1.36,0.97,0.27,5.46,-0.61,0.0,15,4
NJP-BJU,12000,5,NFK,New Farakka,260,2025-01-06 15:48:40.581811514,2025-01-06 16:10:00.744016612,21.3,1.68,0.93,0.44,10.22,-1.43,0.0,15,5
NJP-BJU,12000,5,SGUJ,Sahibganj,320,2025-01-06 16:41:26.869921863,2025-01-06 17:02:43.740892780,21.3,1.4,0.99,0.02,5.98,-0.26,0.6,16,6
NJP-BJU,12000,5,BJU,Barauni,420,2025-01-06 18:09:24.016772446,2025-01-06 18:34:48.769338167,25.4,1.53,1.09,0.68,7.93,1.9,0.0,18,7
NJP-BJU,12000,6,NJP,New Jalpaiguri,0,2025-01-07 17:00:00.000000000,2025-01-07 17:03:35.676885966,3.6,1.22,0.97,0.76,3.37,-0.53,0.0,17,0
NJP-BJU,12000,6,KIR,Kishanganj,55,2025-01-07 17:48:22.430767820,2025-01-07 17:56:51.415587669,8.5,1.41,0.96,0.65,6.09,-0.77,0.0,17,1
NJP-BJU,12000,6,BOE,Barsoi,110,2025-01-07 18:36:44.861535640,2025-01-07 19:00:01.217358286,23.3,1.51,1.43,1.05,7.61,8.67,0.0,18,2
NJP-BJU,12000,6,KNE,Katihar,150,2025-01-07 19:11:55.720275873,2025-01-07 19:44:14.570636748,32.3,1.36,1.32,3.25,5.33,6.48,0.96,19,3
NJP-BJU,12000,6,MLDT,Malda Town,220,2025-01-07 20:13:29.723071281,2025-01-07 20:54:09.651991636,40.7,1.45,1.55,0.33,6.68,11.03,0.0,20,4
NJP-BJU,12000,6,NFK,New Farakka,260,2025-01-07 20:48:40.581811514,2025-01-07 21:29:48.280734258,41.1,1.34,1.15,4.3,5.14,3.07,0.15,20,5
NJP-BJU,12000,6,SGUJ,Sahibganj,320,2025-01-07 21:41:26.869921863,2025-01-07 22:14:31.132933945,33.1,1.25,0.95,1.52,3.81,-1.05,0.0,21,6
NJP-BJU,12000,6,BJU,Barauni,420,2025-01-07 23:09:24.016772446,2025-01-07 23:35:01.027879521,25.6,1.19,0.96,0.5,2.81,-0.85,0.0,23,7
NJP-BJU,12000,7,NJP,New Jalpaiguri,0,2025-01-08 14:00:00.000000000,2025-01-08 14:09:40.675956635,9.7,1.38,0.86,2.67,5.72,-2.81,4.1,14,0
NJP-BJU,12000,7,KIR,Kishanganj,55,2025-01-08 14:48:22.430767820,2025-01-08 15:02:27.688483247,14.1,1.18,1.15,0.22,2.71,2.94,1.44,14,1
NJP-BJU,12000,7,BOE,Barsoi,110,2025-01-08 15:36:44.861535640,2025-01-08 16:09:14.184976402,32.5,1.47,1.14,0.49,7.02,2.77,12.35,15,2
NJP-BJU,12000,7,KNE,Katihar,150,2025-01-08 16:11:55.720275873,2025-01-08 16:42:14.160172166,30.3,1.49,0.97,0.5,7.3,-0.6,0.36,16,3
NJP-BJU,12000,7,MLDT,Malda Town,220,2025-01-08 17:13:29.723071281,2025-01-08 17:40:30.237129549,27.0,1.35,1.02,0.22,5.2,0.37,0.0,17,4
NJP-BJU,12000,7,NFK,New Farakka,260,2025-01-08 17:48:40.581811514,2025-01-08 18:17:44.288504349,29.1,1.6,1.01,0.87,9.04,0.25,0.0,17,5
NJP-BJU,12000,7,SGUJ,Sahibganj,320,2025-01-08 18:41:26.869921863,2025-01-08 19:14:31.319111179,33.1,1.4,1.23,0.19,6.0,4.56,1.99,18,6
NJP-BJU,12000,7,BJU,Barauni,420,2025-01-08 20:09:24.016772446,2025-01-08 20:56:09.438916287,46.8,1.82,1.46,0.74,12.28,9.15,1.44,20,7
NJP-BJU,12000,8,NJP,New Jalpaiguri,0,2025-01-09 20:00:00.000000000,2025-01-09 20:11:05.731280170,11.1,1.18,1.42,0.05,2.66,8.38,0.0,20,0
NJP-BJU,12000,8,KIR,Kishanganj,55,2025-01-09 20:48:22.430767820,2025-01-09 21:05:51.116225638,17.5,1.05,1.39,1.09,0.77,7.85,0.0,20,1
NJP-BJU,12000,8,BOE,Barsoi,110,2025-01-09 21:36:44.861535640,2025-01-09 21:55:43.040440181,19.0,1.31,1.02,1.73,4.59,0.42,0.0,21,2
NJP-BJU,12000,8,KNE,Katihar,150,2025-01-09 22:11:55.720275873,2025-01-09 22:30:54.659836593,19.0,1.38,0.98,0.42,5.69,-0.4,0.0,22,3
NJP-BJU,12000,8,MLDT,Malda Town,220,2025-01-09 23:13:29.723071281,2025-01-09 23:25:24.853274880,11.9,0.89,0.98,0.71,-1.7,-0.38,0.0,23,4
NJP-BJU,12000,8,NFK,New Farakka,260,2025-01-09 23:48:40.581811514,2025-01-10 00:00:40.461663657,12.0,1.33,0.86,0.42,4.88,-2.81,1.16,23,5
NJP-BJU,12000,8,SGUJ,Sahibganj,320,2025-01-10 00:41:26.869921863,2025-01-10 00:59:20.825807065,17.9,1.57,0.97,1.43,8.59,-0.53,0.0,0,6
NJP-BJU,12000,8,BJU,Barauni,420,2025-01-10 02:09:24.016772446,2025-01-10 02:29:24.762618879,20.0,1.33,1.1,0.41,5.0,2.08,0.0,2,7
NJP-BJU,12000,9,NJP,New Jalpaiguri,0,2025-01-10 13:00:00.000000000,2025-01-10 13:13:06.481814596,13.1,1.64,1.04,2.87,9.53,0.7,0.0,13,0
NJP-BJU,12000,9,KIR,Kishanganj,55,2025-01-10 13:48:22.430767820,2025-01-10 14:05:42.413305418,17.3,1.57,0.98,0.15,8.48,-0.47,0.0,13,1
NJP-BJU,12000,9,BOE,Barsoi,110,2025-01-10 14:36:44.861535640,2025-01-10 14:56:12.060189019,19.5,1.6,0.91,0.24,8.97,-1.89,0.0,14,2
NJP-BJU,12000,9,KNE,Katihar,150,2025-01-10 15:11:55.720275873,2025-01-10 15:33:52.334751560,21.9,1.41,1.09,0.24,6.21,1.87,0.0,15,3
NJP-BJU,12000,9,MLDT,Malda Town,220,2025-01-10 16:13:29.723071281,2025-01-10 16:34:42.841299727,21.2,1.55,0.87,0.18,8.19,-2.52,0.0,16,4
NJP-BJU,12000,9,NFK,New Farakka,260,2025-01-10 16:48:40.581811514,2025-01-10 17:11:22.315481413,22.7,1.3,1.12,0.98,4.45,2.42,0.0,16,5
NJP-BJU,12000,9,SGUJ,Sahibganj,320,2025-01-10 17:41:26.869921863,2025-01-10 18:28:37.979565717,47.2,1.2,1.0,6.85,2.96,0.05,21.44,17,6
NJP-BJU,12000,9,BJU,Barauni,420,2025-01-10 19:09:24.016772446,2025-01-10 19:55:22.208295373,46.0,1.27,1.42,0.59,4.04,8.31,0.0,19,7
NJP-BJU,12000,10,NJP,New Jalpaiguri,0,2025-01-11 16:00:00.000000000,2025-01-11 16:07:49.432316015,7.8,1.41,1.03,0.95,6.22,0.66,0.0,16,0
NJP-BJU,12000,10,KIR,Kishanganj,55,2025-01-11 16:48:22.430767820,2025-01-11 17:07:27.243339665,19.1,1.28,1.05,0.54,4.23,0.95,7.89,16,1
NJP-BJU,12000,10,BOE,Barsoi,110,2025-01-11 17:36:44.861535640,2025-01-11 18:00:00.173663211,23.3,1.57,0.95,2.27,8.54,-0.91,0.0,17,2
NJP-BJU,12000,10,KNE,Katihar,150,2025-01-11 18:11:55.720275873,2025-01-11 18:42:39.883710480,30.7,1.45,1.32,1.29,6.7,6.47,0.0,18,3
NJP-BJU,12000,10,MLDT,Malda Town,220,2025-01-11 19:13:29.723071281,2025-01-11 19:46:26.584700530,32.9,1.37,1.28,0.18,5.56,5.69,0.0,19,4
NJP-BJU,12000,10,NFK,New Farakka,260,2025-01-11 19:48:40.581811514,2025-01-11 20:20:38.256774082,32.0,1.19,1.29,0.32,2.82,5.75,0.0,19,5
NJP-BJU,12000,10,SGUJ,Sahibganj,320,2025-01-11 20:41:26.869921863,2025-01-11 21:14:58.426650664,33.5,1.24,1.32,1.22,3.53,6.4,0.0,20,6
NJP-BJU,12000,10,BJU,Barauni,420,2025-01-11 22:09:24.016772446,2025-01-11 22:48:52.959421517,39.5,1.67,1.07,0.32,9.99,1.37,4.33,22,7
NJP-BJU,12000,11,NJP,New Jalpaiguri,0,2025-01-12 13:00:00.000000000,2025-01-12 13:03:22.085580838,3.4,1.36,0.84,1.19,5.38,-3.21,0.0,13,0
NJP-BJU,12000,11,KIR,Kishanganj,55,2025-01-12 13:48:22.430767820,2025-01-12 14:00:29.902250597,12.1,1.42,1.1,1.35,6.32,2.1,0.0,13,1
NJP-BJU,12000,11,BOE,Barsoi,110,2025-01-12 14:36:44.861535640,2025-01-12 14:45:13.859726101,8.5,1.08,0.94,0.07,1.2,-1.27,0.0,14,2
NJP-BJU,12000,11,KNE,Katihar,150,2025-01-12 15:11:55.720275873,2025-01-12 15:23:30.533407196,11.6,1.46,0.89,1.07,6.83,-2.26,0.0,15,3
NJP-BJU,12000,11,MLDT,Malda Town,220,2025-01-12 16:13:29.723071281,2025-01-12 16:29:56.983744280,16.5,1.54,1.01,0.02,8.11,0.22,0.0,16,4
NJP-BJU,12000,11,NFK,New Farakka,260,2025-01-12 16:48:40.581811514,2025-01-12 17:07:14.473816987,18.6,1.51,0.94,0.58,7.59,-1.13,0.0,16,5
NJP-BJU,12000,11,SGUJ,Sahibganj,320,2025-01-12 17:41:26.869921863,2025-01-12 18:07:45.362781592,26.3,1.56,0.97,5.45,8.46,-0.63,0.04,17,6
NJP-BJU,12000,11,BJU,Barauni,420,2025-01-12 19:09:24.016772446,2025-01-12 19:50:04.689722936,40.7,1.57,1.1,6.17,8.49,2.01,5.59,19,7
NJP-BJU,12000,12,NJP,New Jalpaiguri,0,2025-01-13 08:00:00.000000000,2025-01-13 08:15:53.732270218,15.9,1.55,1.27,2.22,8.25,5.43,0.0,8,0
NJP-BJU,12000,12,KIR,Kishanganj,55,2025-01-13 08:48:22.430767820,2025-01-13 09:15:46.910596477,27.4,1.67,1.29,0.44,9.98,5.86,0.0,8,1
NJP-BJU,12000,12,BOE,Barsoi,110,2025-01-13 09:36:44.861535640,2025-01-13 10:17:45.447375864,41.0,1.67,1.31,1.17,10.06,6.18,4.41,9,2
NJP-BJU,12000,12,KNE,Katihar,150,2025-01-13 10:11:55.720275873,2025-01-13 10:43:52.915426869,32.0,1.22,0.97,0.48,3.34,-0.57,0.0,10,3
NJP-BJU,12000,12,MLDT,Malda Town,220,2025-01-13 11:13:29.723071281,2025-01-13 11:56:49.008616656,43.3,1.12,1.03,1.38,1.85,0.63,17.09,11,4
NJP-BJU,12000,12,NFK,New Farakka,260,2025-01-13 11:48:40.581811514,2025-01-13 12:26:45.469043999,38.1,1.03,1.07,0.2,0.51,1.49,5.56,11,5
NJP-BJU,12000,12,SGUJ,Sahibganj,320,2025-01-13 12:41:26.869921863,2025-01-13 13:21:17.746357654,39.8,1.27,1.03,8.47,4.04,0.68,0.0,12,6
NJP-BJU,12000,12,BJU,Barauni,420,2025-01-13 14:09:24.016772446,2025-01-13 14:46:53.790400372,37.5,1.47,1.11,0.4,7.09,2.11,0.0,14,7
NJP-BJU,12000,13,NJP,New Jalpaiguri,0,2025-01-14 05:00:00.000000000,2025-01-14 05:20:21.213738088,20.4,1.61,0.97,1.15,9.2,-0.53,10.54,5,0
NJP-BJU,12000,13,KIR,Kishanganj,55,2025-01-14 05:48:22.430767820,2025-01-14 06:12:57.996396803,24.6,1.47,1.16,0.06,7.05,3.12,0.12,5,1
NJP-BJU,12000,13,BOE,Barsoi,110,2025-01-14 06:36:44.861535640,2025-01-14 07:02:51.531026381,26.1,1.62,0.93,1.02,9.23,-1.35,0.0,6,2
NJP-BJU,12000,13,KNE,Katihar,150,2025-01-14 07:11:55.720275873,2025-01-14 07:42:51.964129831,30.9,1.46,1.22,1.38,6.94,4.33,0.0,7,3
NJP-BJU,12000,13,MLDT,Malda Town,220,2025-01-14 08:13:29.723071281,2025-01-14 08:43:09.046789852,29.7,1.18,1.25,0.27,2.65,5.08,0.0,8,4
NJP-BJU,12000,13,NFK,New Farakka,260,2025-01-14 08:48:40.581811514,2025-01-14 09:22:53.295168036,34.2,1.62,1.2,0.06,9.32,4.08,0.0,8,5
NJP-BJU,12000,13,SGUJ,Sahibganj,320,2025-01-14 09:41:26.869921863,2025-01-14 10:17:07.748737382,35.7,1.34,1.32,0.22,5.15,6.37,0.0,9,6
NJP-BJU,12000,13,BJU,Barauni,420,2025-01-14 11:09:24.016772446,2025-01-14 11:42:21.382567358,33.0,1.61,0.91,0.61,9.19,-1.83,0.0,11,7
NJP-BJU,12000,14,NJP,New Jalpaiguri,0,2025-01-15 21:00:00.000000000,2025-01-15 21:11:28.720909365,11.5,1.69,1.01,1.03,10.3,0.15,0.0,21,0
NJP-BJU,12000,14,KIR,Kishanganj,55,2025-01-15 21:48:22.430767820,2025-01-15 22:01:11.500813869,12.8,1.37,0.94,0.54,5.49,-1.25,0.0,21,1
NJP-BJU,12000,14,BOE,Barsoi,110,2025-01-15 22:36:44.861535640,2025-01-15 22:55:32.941212569,18.8,1.53,1.09,0.1,8.0,1.74,0.0,22,2
NJP-BJU,12000,14,KNE,Katihar,150,2025-01-15 23:11:55.720275873,2025-01-15 23:33:29.243401628,21.6,1.49,0.98,1.53,7.36,-0.49,0.0,23,3
NJP-BJU,12000,14,MLDT,Malda Town,220,2025-01-16 00:13:29.723071281,2025-01-16 00:34:27.019763309,21.0,1.33,0.84,4.06,4.99,-3.19,0.0,0,4
NJP-BJU,12000,14,NFK,New Farakka,260,2025-01-16 00:48:40.581811514,2025-01-16 01:11:24.922193725,22.7,1.58,0.94,0.54,8.69,-1.15,0.0,0,5
NJP-BJU,12000,14,SGUJ,Sahibganj,320,2025-01-16 01:41:26.869921863,2025-01-16 02:12:16.736560760,30.8,1.29,1.19,6.67,4.37,3.87,0.0,1,6
NJP-BJU,12000,14,BJU,Barauni,420,2025-01-16 03:09:24.016772446,2025-01-16 03:36:54.370539299,27.5,1.49,0.88,1.03,7.4,-2.5,0.0,3,7
NJP-BJU,12000,15,NJP,New Jalpaiguri,0,2025-01-16 13:00:00.000000000,2025-01-16 13:08:55.283580929,8.9,1.38,1.06,0.23,5.74,1.27,1.69,13,0
NJP-BJU,12000,15,KIR,Kishanganj,55,2025-01-16 13:48:22.430767820,2025-01-16 14:07:20.006744704,19.0,1.58,1.13,1.41,8.69,2.61,0.0,13,1
NJP-BJU,12000,15,BOE,Barsoi,110,2025-01-16 14:36:44.861535640,2025-01-16 15:00:16.893411242,23.5,1.67,0.98,0.56,10.01,-0.31,0.0,14,2
NJP-BJU,12000,15,KNE,Katihar,150,2025-01-16 15:11:55.720275873,2025-01-16 15:41:55.045994300,30.0,1.69,1.01,2.94,10.37,0.21,0.0,15,3
NJP-BJU,12000,15,MLDT,Malda Town,220,2025-01-16 16:13:29.723071281,2025-01-16 16:41:32.975219287,28.1,1.33,0.92,1.37,4.91,-1.51,2.28,16,4
NJP-BJU,12000,15,NFK,New Farakka,260,2025-01-16 16:48:40.581811514,2025-01-16 17:17:12.189216765,28.5,1.53,0.96,1.84,7.91,-0.86,0.0,16,5
NJP-BJU,12000,15,SGUJ,Sahibganj,320,2025-01-16 17:41:26.869921863,2025-01-16 18:10:44.452050279,29.3,1.24,0.87,8.38,3.64,-2.7,0.0,17,6
NJP-BJU,12000,15,BJU,Barauni,420,2025-01-16 19:09:24.016772446,2025-01-16 19:42:26.772683624,33.0,1.36,1.27,0.59,5.46,5.49,0.99,19,7
NJP-BJU,12000,16,NJP,New Jalpaiguri,0,2025-01-17 17:00:00.000000000,2025-01-17 17:09:55.364540775,9.9,1.53,1.03,1.32,7.99,0.62,0.0,17,0
NJP-BJU,12000,16,KIR,Kishanganj,55,2025-01-17 17:48:22.430767820,2025-01-17 18:10:54.044812420,22.5,1.81,0.99,3.62,12.11,-0.14,0.0,17,1
NJP-BJU,12000,16,BOE,Barsoi,110,2025-01-17 18:36:44.861535640,2025-01-17 18:59:04.501558232,22.3,1.19,1.18,0.14,2.9,3.51,0.0,18,2
NJP-BJU,12000,16,KNE,Katihar,150,2025-01-17 19:11:55.720275873,2025-01-17 19:41:45.488843906,29.8,1.47,1.31,1.1,7.0,6.1,0.0,19,3
NJP-BJU,12000,16,MLDT,Malda Town,220,2025-01-17 20:13:29.723071281,2025-01-17 20:52:25.810707465,38.9,1.55,1.28,4.16,8.22,5.68,0.0,20,4
NJP-BJU,12000,16,NFK,New Farakka,260,2025-01-17 20:48:40.581811514,2025-01-17 21:25:37.670980781,37.0,1.44,1.16,0.03,6.56,3.1,0.0,20,5
NJP-BJU,12000,16,SGUJ,Sahibganj,320,2025-01-17 21:41:26.869921863,2025-01-17 22:14:37.855470272,33.2,1.22,1.02,3.71,3.3,0.3,0.0,21,6
NJP-BJU,12000,16,BJU,Barauni,420,2025-01-17 23:09:24.016772446,2025-01-17 23:42:59.443185087,33.6,1.65,0.98,1.02,9.74,-0.4,0.0,23,7
NJP-BJU,12000,17,NJP,New Jalpaiguri,0,2025-01-18 13:00:00.000000000,2025-01-18 13:09:08.410930552,9.1,1.17,0.98,3.45,2.53,-0.47,3.63,13,0
NJP-BJU,12000,17,KIR,Kishanganj,55,2025-01-18 13:48:22.430767820,2025-01-18 13:57:44.951614359,9.4,1.16,0.93,1.85,2.47,-1.34,0.0,13,1
NJP-BJU,12000,17,BOE,Barsoi,110,2025-01-18 14:36:44.861535640,2025-01-18 14:47:30.222266966,10.8,1.16,1.02,1.46,2.33,0.4,0.0,14,2
NJP-BJU,12000,17,KNE,Katihar,150,2025-01-18 15:11:55.720275873,2025-01-18 15:21:36.255722843,9.7,1.32,0.87,0.06,4.73,-2.64,0.0,15,3
NJP-BJU,12000,17,MLDT,Malda Town,220,2025-01-18 16:13:29.723071281,2025-01-18 16:30:03.037419611,16.6,1.3,1.07,4.04,4.44,1.3,0.0,16,4
NJP-BJU,12000,17,NFK,New Farakka,260,2025-01-18 16:48:40.581811514,2025-01-18 17:06:59.212163943,18.3,1.5,0.95,0.1,7.55,-0.92,0.0,16,5
NJP-BJU,12000,17,SGUJ,Sahibganj,320,2025-01-18 17:41:26.869921863,2025-01-18 18:12:20.293956254,30.9,1.27,1.04,6.06,4.09,0.87,7.06,17,6
NJP-BJU,12000,17,BJU,Barauni,420,2025-01-18 19:09:24.016772446,2025-01-18 19:43:42.331142604,34.3,1.51,1.2,1.14,7.61,3.93,0.0,19,7
NJP-BJU,12000,18,NJP,New Jalpaiguri,0,2025-01-19 15:00:00.000000000,2025-01-19 15:03:01.943938134,3.0,1.24,0.9,0.92,3.58,-2.05,0.58,15,0
NJP-BJU,12000,18,KIR,Kishanganj,55,2025-01-19 15:48:22.430767820,2025-01-19 16:00:09.451032348,11.8,1.69,0.96,0.01,10.35,-0.71,0.0,15,1
NJP-BJU,12000,18,BOE,Barsoi,110,2025-01-19 16:36:44.861535640,2025-01-19 16:52:29.472929579,15.7,1.28,1.04,2.6,4.14,0.75,0.0,16,2
NJP-BJU,12000,18,KNE,Katihar,150,2025-01-19 17:11:55.720275873,2025-01-19 17:34:52.807365488,23.0,1.67,0.92,3.51,10.09,-1.66,0.0,17,3
NJP-BJU,12000,18,MLDT,Malda Town,220,2025-01-19 18:13:29.723071281,2025-01-19 18:49:21.772896745,35.9,1.91,1.26,0.96,13.65,5.19,0.0,18,4
